"earnings_id","symbol","reportedDate","fiscalDateEnding","reportedEPS","surprise","surprisePercentage","estimatedEPS","reportTime","price_range_prior","price_change_prior","avg_volume_prior","price_range_post","price_change_post","avg_volume_post"
"MMM01","MMM",2025-10-21,2025-09-30,2.19,0.12,5.7971,"2.07","pre-market",13.645,0.109954078002708,2799303.09677419,20.05,8.10126582278482,3360383.07407407
"MMM02","MMM",2025-07-18,2025-06-30,2.16,0.15,7.4627,"2.01","pre-market",17.9,8.70070398469004,3019177.29032258,19.9,-4.31278454534268,3668599.93548387
"MMM03","MMM",2025-04-22,2025-03-31,1.88,0.11,6.2147,"1.77","pre-market",33.0229,-12.1140308078344,4533202.23333333,24.37,9.16457215740706,3163540.21212121
"MMM04","MMM",2025-01-21,2024-12-31,1.68,0.14,9.0909,"1.54","pre-market",16.29,5.95792637114952,3396342.62962963,15.57,0.549828178694166,4379931.90909091
"MMM05","MMM",2024-10-22,2024-09-30,1.98,0.08,4.2105,"1.9","pre-market",13.6,4.21207203029602,3325555.16129032,16.84,-5.05028889364433,3623470.3030303
"MMM06","MMM",2024-07-26,2024-06-30,1.93,0.25,14.881,"1.68","pre-market",7.25999999999999,3.28671328671329,3534458.80645161,22.305,13.9992013133958,4946519.41935484
"MMM07","MMM",2024-04-30,2024-03-31,2.39,0.28,13.2701,"2.11","pre-market",20.96,-11.8339232756147,4801240.53333333,12.26,5.40060587067795,5371046.27272727
"MMM08","MMM",2024-01-23,2023-12-31,2.42,0.11,4.7619,"2.31","pre-market",10.95,4.16586306653808,3339388.5,10.3835,-6.90065437239738,4887985.54545455
"MMM09","MMM",2023-10-24,2023-09-30,2.68,0.33,14.0426,"2.35","pre-market",23.455,-20,3782760.25806452,17.94,14.7153479081123,3388585.75757576
"MMM10","MMM",2023-07-25,2023-06-30,2.17,0.41,23.2955,"1.76","pre-market",10.0341,3.9063278525162,3613883.82758621,15.44,-1.21803812180381,3648268.03030303
"MMM11","MMM",2023-04-25,2023-03-31,1.97,0.37,23.125,"1.6","pre-market",7.1425,1.34079290054982,3515364.33333333,14.92,-5.46934140802422,3667452.90909091
"MMM12","MMM",2023-01-24,2022-12-31,2.28,-0.09,-3.7975,"2.37","pre-market",13.26,-2.74428934010152,2957978.96428571,17.11,-10.3240261978628,3761404.66666667
"MMM13","MMM",2022-10-25,2022-09-30,2.69,0.1,3.861,"2.59","pre-market",19.45,-4.77799227799228,4179498.32258065,20.76,10.7920007047837,2768254.66666667
"MMM14","MMM",2022-07-26,2022-06-30,2.48,0.04,1.6393,"2.44","pre-market",12.75,-1.90887149857382,2996233.86206897,36.32,-14.2220054351613,14875087.2424242
"MMM15","MMM",2022-04-26,2022-03-31,2.65,0.33,14.2241,"2.32","post-market",11.81,5.05478967833157,2906268.26666667,17.08,-5.33663434426793,2901146.39393939
"AXP01","AXP",2025-10-17,2025-09-30,4.14,0.14,3.5,"4","pre-market",33.24,-1.0836955856242,2638480.03030303,46.23,9.55231963415368,2654987.48275862
"AXP02","AXP",2025-07-18,2025-06-30,4.08,0.2,5.1546,"3.88","pre-market",42.99,6.8258807588076,2729076.32258065,43.72,6.2271532097736,2432162.96774194
