"earnings_id","symbol","reportedDate","fiscalDateEnding","reportedEPS","surprise","surprisePercentage","estimatedEPS","reportTime","price_range_prior","price_change_prior","avg_volume_prior","price_range_post","price_change_post","avg_volume_post"
"MMM01","MMM",2025-10-21,2025-09-30,2.19,0.12,5.7971,"2.07","pre-market",13.645,-0.883116883116468,2751600.3,13.5,1.61580579964806,2970021.23076923
"MMM02","MMM",2025-07-18,2025-06-30,2.16,0.15,7.4627,"2.01","pre-market",17.9,6.60230878282612,2939874.67857143,16.22,2.25003345300007,3400824.56666667
"MMM03","MMM",2025-04-22,2025-03-31,1.88,0.11,6.2147,"1.77","pre-market",33.0229,-11.7937948787426,4483594.62068965,19.88,6.48085954391292,2962534.6
"MMM04","MMM",2025-01-21,2024-12-31,1.68,0.14,9.0909,"1.54","pre-market",16.29,7.25530458589928,3396342.62962963,15.57,-1.61372917440708,4055069.6
"MMM05","MMM",2024-10-22,2024-09-30,1.98,0.08,4.2105,"1.9","pre-market",13.6,5.2000622761949,3238387.63333333,11.08,7.27687843519714,3109695.96666667
"MMM06","MMM",2024-07-26,2024-06-30,1.93,0.25,14.881,"1.68","pre-market",7.25999999999999,3.60244769048546,3555190,15.68,3.1815294625378,4019772.73333333
"MMM07","MMM",2024-04-30,2024-03-31,2.39,0.28,13.2701,"2.11","pre-market",20.96,3.82871604587942,4795859.5862069,11.03,4.59061030547369,4771043.73333333
"MMM08","MMM",2024-01-23,2023-12-31,2.42,0.11,4.7619,"2.31","pre-market",10.95,4.45909267157815,3280993.25925926,6.4235,-0.578346489645076,3954938.7
"MMM09","MMM",2023-10-24,2023-09-30,2.68,0.33,14.0426,"2.35","pre-market",22.47,-19.7794049494856,3792964.63333333,17.94,19.9612090396473,3255914.8
"MMM10","MMM",2023-07-25,2023-06-30,2.17,0.41,23.2955,"1.76","pre-market",9.32000000000001,3.03179932846141,3623901.82142857,14.71,-3.61687463716979,3346849.7
"MMM11","MMM",2023-04-25,2023-03-31,1.97,0.37,23.125,"1.6","pre-market",7.1425,0.946859903381621,3514653.48275862,14.45,-4.53406694527706,3680284.83333333
"MMM12","MMM",2023-01-24,2022-12-31,2.28,-0.09,-3.7975,"2.37","pre-market",13.26,-4.88766259361451,2941156.55555556,17.11,-8.5000774713356,3441034.63333333
"MMM13","MMM",2022-10-25,2022-09-30,2.69,0.1,3.861,"2.59","pre-market",19.45,-5.98792756539239,4205678.13333333,12.79,0.500561899312897,2599735.93333333
"MMM14","MMM",2022-07-26,2022-06-30,2.48,0.04,1.6393,"2.44","pre-market",12.75,-1.64992300359312,3019167.89285714,36.32,-13.1784304290399,15673405.3
"MMM15","MMM",2022-04-26,2022-03-31,2.65,0.33,14.2241,"2.32","post-market",11.81,3.96570950655213,2888133.17241379,17.08,-3.5878465896967,2842468.36666667
"AXP01","AXP",2025-10-17,2025-09-30,4.14,0.16,4.0201,"3.98","pre-market",33.24,-2.18075166638894,2626836.3,43.13,3.09888977910037,2434449.26666667
"AXP02","AXP",2025-07-18,2025-06-30,4.08,0.2,5.1546,"3.88","pre-market",42.99,8.18184274562844,2694629.28571429,43.72,9.34415948773817,2330532.66666667
"AXP03","AXP",2025-04-17,2025-03-31,3.64,0.17,4.8991,"3.47","pre-market",83.035,-14.7141245691869,4163704.76666667,64.35,21.2527318461095,2776847.17241379
"AXP04","AXP",2025-01-24,2024-12-31,3.04,-0.01,-0.3279,"3.05","pre-market",28.97,3.69795611174268,2386672.07692308,65.8,-17.4135642500473,2563010.76666667
"AXP05","AXP",2024-10-18,2024-09-30,3.49,0.21,6.4024,"3.28","pre-market",37.11,9.00923875552509,2599235.2,41.475,11.6421659156386,2580008
"AXP06","AXP",2024-07-19,2024-06-30,3.49,0.23,7.0552,"3.26","pre-market",23.918,3.15062813692248,2691531,39.72,5.6792645556689,2686770.86666667
"AXP07","AXP",2024-04-19,2024-03-31,3.33,0.35,11.745,"2.98","pre-market",17.1752,0.873023281208046,2536399.10344828,16.7238,1.66523605150217,2946083.53333333
