"earnings_id","symbol","reportedDate","fiscalDateEnding","reportedEPS","surprise","surprisePercentage","estimatedEPS","reportTime","price_range_prior","price_change_prior","avg_volume_prior","price_range_post","price_change_post","avg_volume_post","sentiment_prior","sentiment_post"
"AAPL01","AAPL","2025-10-30","2025-09-30",1.85,0.09,5.1136,1.76,"post-market",39.34,-13.1704889161147,52753902.4545455,18.1,-3.22290565087586,46096698.35,0.242172106228027,0.275307789720075
"AAPL02","AAPL","2025-07-31","2025-06-30",1.57,0.14,9.7902,1.43,"post-market",21.16,-7.41499767116907,51941503.8709677,44.625,-15.7011089232045,58578073.1176471,0.242172106228027,0.339572180289572
"AAPL03","AAPL","2025-05-01","2025-03-31",1.65,0.03,1.8519,1.62,"post-market",56.4099,5.14379860926028,68965784.15625,20.69,0.330415920498385,53718579.2121212,0.339572180289572,0.339572180289572
"AAPL04","AAPL","2025-01-30","2024-12-31",2.4,0.06,2.5641,2.34,"post-market",40.72,9.65833259186761,52261811.4827586,41.58,7.77557194176592,50631315.3235294,0.242172106228027,0.242172106228027
"AAPL05","AAPL","2024-10-31","2024-09-30",0.97,0.02,2.1053,0.95,"post-market",23.57,-3.08174458083051,50983099.1212121,35.29,-10.4942751169166,46928116,0.300452141155817,0
"AAPL06","AAPL","2024-08-01","2024-06-30",1.4,0.06,4.4776,1.34,"post-market",30.64,-2.57430269775949,72050197.0967742,37.09,-9.00117406618254,56498382.0294118,0.300452141155817,0.300452141155817
"AAPL07","AAPL","2024-05-02","2024-03-31",1.53,0.03,2,1.5,"post-market",14.595,0.735813515422651,60993325.96875,39.78,-13.6318266077285,73235239.5757576,0.158862012371021,0.339572180289572
"AAPL08","AAPL","2024-02-01","2023-12-31",2.18,0.07,3.3175,2.11,"post-market",19.45,1.89941833530653,55994743.9,22.56,9.26874708896135,64336237.4117647,0.22545797007365,0.300452141155817
"AAPL09","AAPL","2023-11-02","2023-09-30",1.46,0.07,5.036,1.39,"post-market",16.67,4.37361452279672,58015944.1212121,23.41,-8.17194384670561,52777598.9117647,0.233193286915337,0.331402551923086
"AAPL10","AAPL","2023-08-03","2023-06-30",1.26,0.07,5.8824,1.19,"post-market",16.21,-5.50675502131813,53773248.9354839,18.02,2.39308410144845,62117096.0294118,0.203052067094273,0
