"earningsid","period","strong_financial_metrics","revenue_profit_growth","reasonable_valuation","healthy_roe","strong_cashflow_low_debt","positive_dividend_history","quality_management","competitive_advantage_moat","industry_leadership_and_trends","new_products_or_services","clear_positive_rating","risk_assessment_present","forward_looking_outlook","overall_good_stock_narrative","sentiment_signal","composite_score"
"AAPL01","POST",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.275307789720075
"AAPL01","PRE",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.242172106228027
"AAPL02","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AAPL02","PRE",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.242172106228027
"AAPL03","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AAPL03","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AAPL04","POST",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.242172106228027
"AAPL04","PRE",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.242172106228027
"AAPL05","POST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAPL05","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AAPL06","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AAPL06","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AAPL07","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AAPL07","PRE",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.158862012371021
"AAPL08","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AAPL08","PRE",1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0.22545797007365
"AAPL09","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"AAPL09","PRE",1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0.233193286915337
"AAPL10","POST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAPL10","PRE",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"AAPL11","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AAPL11","PRE",1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0.241522924790959
"AAPL12","POST",0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.197991194905297
"AAPL12","PRE",1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0.133717660935278
"AAPL13","POST",1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0.244960843387264
"AAPL13","PRE",1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0.241669219199312
"AAPL14","POST",1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0.208387241298912
"AAPL14","PRE",1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0.256262086432565
"AAPL15","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"AAPL15","PRE",1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0.218700997087827
"AMGN01","POST",0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0.149407736231182
"AMGN01","PRE",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0.122187832876925
"AMGN02","POST",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0945976218015242
"AMGN02","PRE",1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0.101162583376384
"AMGN03","POST",1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0945976218015242
"AMGN03","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AMGN04","POST",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"AMGN04","PRE",1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0.252014976890055
"AMGN05","POST",1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0.180696452817767
"AMGN05","PRE",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.209228434146944
"AMGN06","POST",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMGN06","PRE",1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0.150687812304274
"AMGN07","POST",1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0.180696452817767
"AMGN07","PRE",0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0.0321253377343568
"AMGN08","POST",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0.214010432619996
"AMGN08","PRE",0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0.104271339553894
"AMGN09","POST",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0.127911601603752
"AMGN09","PRE",1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0.0939667271655001
"AMGN10","POST",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"AMGN10","PRE",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.167031640737507
"AMGN11","POST",1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.126206357406383
"AMGN11","PRE",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"AMGN12","POST",1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0.311556801089893
"AMGN12","PRE",1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0.17067985754582
"AMGN13","POST",1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0.176303048866904
"AMGN13","PRE",0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0276359280780115
"AMGN14","POST",1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0.165344683341181
"AMGN14","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMGN15","POST",1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,-0.0294097477792966
"AMGN15","PRE",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"AMZN01","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AMZN01","PRE",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.37052259105684
"AMZN02","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AMZN02","PRE",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.37052259105684
"AMZN03","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AMZN03","PRE",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.37052259105684
"AMZN04","POST",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"AMZN04","PRE",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"AMZN05","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"AMZN05","PRE",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"AMZN06","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AMZN06","PRE",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"AMZN07","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AMZN07","PRE",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"AMZN08","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AMZN08","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMZN09","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"AMZN09","PRE",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0.127911601603752
"AMZN10","POST",1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0.244960843387264
"AMZN10","PRE",1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0.158862012371021
"AMZN11","POST",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"AMZN11","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMZN12","POST",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.331402551923086
"AMZN12","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMZN13","POST",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.169738087292045
"AMZN13","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMZN14","POST",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AMZN14","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AMZN15","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AMZN15","PRE",1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0.380927780850976
"AXP01","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AXP01","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AXP02","POST",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.275307789720075
"AXP02","PRE",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0.342360917448808
"AXP03","POST",1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0.252577296022164
"AXP03","PRE",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.225311675665297
"AXP04","POST",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.138787676524776
"AXP04","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AXP05","POST",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.203052067094273
"AXP05","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AXP06","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AXP06","PRE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AXP07","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AXP07","PRE",1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0.177057379409976
"AXP08","POST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.339572180289572
"AXP08","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AXP09","POST",1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0.113172439962146
"AXP09","PRE",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0.267138161353589
"AXP10","POST",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.389097409217462
"AXP10","PRE",1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0.283527706789432
"AXP11","POST",1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0.252577296022164
"AXP11","PRE",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AXP12","POST",1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0.188312905452667
"AXP12","PRE",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0.234002477861542
"AXP13","POST",1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0.219263316219935
"AXP13","PRE",1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0.219263316219935
"AXP14","POST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.300452141155817
"AXP14","PRE",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.0291308740633729
"AXP15","POST",1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0.24582032303634
"AXP15","PRE",1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0.283527706789432
"BA01","POST",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.236187750586321
"BA01","PRE",1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0.256262086432565
"BA02","POST",1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0.285712979514211
